frame,x,y,width,state
1,817,616,56.00892785976178,SAFE
2,817,616,57.0350769263968,SAFE
3,816,617,56.0357029044876,SAFE
4,814,616,55.14526271584895,SAFE
5,813,616,54.230987451824994,SAFE
6,810,617,54.147945482723536,SAFE
7,808,617,51.15662224971465,SAFE
8,804,617,59.30430001273095,SAFE
9,805,618,52.46903848937962,SAFE
10,801,619,49.8196748283246,SAFE
11,798,619,55.57877292636101,SAFE
12,794,620,54.3323108288245,SAFE
13,790,619,53.150729063673246,SAFE
14,786,619,51.35172830587107,SAFE
15,781,620,50.48762224545735,SAFE
18,767,622,49.49747468305833,SAFE
19,761,622,48.662100242385755,SAFE
