epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.4367,1.4668,2.74274,1.10156,0.00395,0.24571,0.19854,0.13403,1.35975,3.45169,0.87092,0.000407609,0.000407609,0.000407609
2,78.2517,1.3868,1.61549,1.04122,0.99604,0.08868,0.27027,0.17321,1.43116,2.63858,0.94768,0.000816115,0.000816115,0.000816115
3,103.195,1.39164,1.40375,1.04406,0.45839,0.37758,0.38794,0.20936,1.49731,1.23738,0.97608,0.00121637,0.00121637,0.00121637
4,128.841,1.33541,1.2476,1.00141,0.49806,0.43112,0.40476,0.21488,1.37901,1.08375,0.96982,0.00121287,0.00121287,0.00121287
5,156.227,1.33076,1.11993,1.0079,0.54806,0.48197,0.44755,0.22694,1.3175,0.78705,0.94681,0.0012005,0.0012005,0.0012005
6,182.116,1.31878,1.01911,0.99996,0.54765,0.52081,0.4618,0.24245,1.30177,0.77416,0.93904,0.00118812,0.00118812,0.00118812
7,207.465,1.29274,0.94748,0.98555,0.62034,0.51344,0.47478,0.25207,1.35069,0.73351,0.92247,0.00117575,0.00117575,0.00117575
8,234.157,1.25027,0.85952,0.96359,0.67638,0.52208,0.50858,0.25432,1.38387,0.77217,0.94648,0.00116337,0.00116337,0.00116337
9,260.498,1.25768,0.81507,0.96887,0.62827,0.57948,0.51955,0.26402,1.2949,0.66045,0.91926,0.001151,0.001151,0.001151
10,285.105,1.26805,0.77652,0.9665,0.70138,0.56001,0.54196,0.26275,1.34462,0.68319,0.91442,0.00113863,0.00113863,0.00113863
11,311.235,1.2671,0.75861,0.97084,0.67571,0.55103,0.53112,0.26376,1.33891,0.69226,0.92558,0.00112625,0.00112625,0.00112625
12,337.259,1.24155,0.73232,0.96137,0.70862,0.55268,0.53078,0.27,1.29745,0.61817,0.92423,0.00111388,0.00111388,0.00111388
13,361.889,1.22025,0.69707,0.96245,0.69531,0.56419,0.52129,0.26741,1.2636,0.59144,0.89432,0.0011015,0.0011015,0.0011015
14,387.396,1.21876,0.68211,0.95709,0.73241,0.54491,0.53782,0.27189,1.28912,0.61405,0.92228,0.00108913,0.00108913,0.00108913
15,413.979,1.18527,0.6589,0.94199,0.69289,0.60026,0.56218,0.28622,1.23199,0.61936,0.89688,0.00107675,0.00107675,0.00107675
16,438.363,1.19148,0.64365,0.95163,0.77875,0.61155,0.59146,0.29153,1.22393,0.58087,0.89834,0.00106437,0.00106437,0.00106437
17,465.198,1.21413,0.64337,0.96466,0.71541,0.5902,0.5561,0.28694,1.22978,0.58363,0.89243,0.001052,0.001052,0.001052
